"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 11 11:11:39 GMT 2024","Mon Mar 11 11:11:39 GMT 2024","135","Business loan application for new users after sign up","SME Business Loan","","","","Activate Account - New User",""
"passed","Mon Mar 11 11:11:37 GMT 2024","Mon Mar 11 11:11:37 GMT 2024","130","Loans application for new user after sign up","Consumer Loans","","","","Activate Account - New User",""
"passed","Mon Mar 11 11:07:51 GMT 2024","Mon Mar 11 11:07:51 GMT 2024","111","Savings application for existing customer","Personal Savings","Personal Savings Application Copy","","","Personal Savings Application- Email Address",""
"passed","Mon Mar 11 11:11:37 GMT 2024","Mon Mar 11 11:11:38 GMT 2024","121","Loans application for new user after sign up","Consumer Loans","","","","Get Customer Loans Application",""
"passed","Mon Mar 11 11:10:29 GMT 2024","Mon Mar 11 11:10:30 GMT 2024","468","View customers saving","","","","","view customer Saving",""
"passed","Mon Mar 11 11:10:31 GMT 2024","Mon Mar 11 11:10:31 GMT 2024","106","Customer notification","","","","","User Notification Invalid Auth Token",""
"failed","Mon Mar 11 11:07:45 GMT 2024","Mon Mar 11 11:07:45 GMT 2024","410","Savings application for existing customer","Fixed Deposit Savings","","","","Fixed Deposit Savings- Empty Contact address1",""
"passed","Mon Mar 11 11:07:51 GMT 2024","Mon Mar 11 11:07:51 GMT 2024","112","Savings application for existing customer","Personal Savings","Personal Savings Application Copy","","","Personal Savings Application- Last Name",""
"passed","Mon Mar 11 11:11:31 GMT 2024","Mon Mar 11 11:11:31 GMT 2024","139","Loan application for new user before sign up","Consumer Loans","","","","Activate Account - New User",""
"failed","Mon Mar 11 11:07:57 GMT 2024","Mon Mar 11 11:07:57 GMT 2024","120","Loans application for existing customer","Personal Loans","Consumer Loans","","","Consumer Loan - Submit Loan Successfull",""
"passed","Mon Mar 11 11:11:38 GMT 2024","Mon Mar 11 11:11:39 GMT 2024","1304","Business loan application for new users after sign up","SME Business Loan","","","","Register New User",""
